Date; Wrist; Pinky; Ring; Middle; Index; Thumb; Count Value; Run Time
20220601-225747;51.98(Wrist);106.3(Pinky);105.19(Ring);115.85(Middle);135.4(Index);150.19(Thumb);0.0(Count Value);29(Run Time)
20220601-225852;26.46(Wrist);82.59(Pinky);91.03(Ring);108.83(Middle);106.8(Index);46.85(Thumb);0.0(Count Value);12(Run Time)
20220601-230432;28.29;89.98;94.99;89.09;94.15;119.23;0.0;17
20220601-230609;22.84;70.32;90.78;94.11;67.58;47.86;0.0;6
20220601-230735;66.14;87.21;107.77;120.44;118.28;110.31;0.0;16
20220601-230823;113.25;528.32;534.48;518.38;527.81;565.21;13.0;68
20220601-231030;525.12;443.92;484.82;521.47;508.94;193.49;0.0;71
20220601-231549;27.4;86.74;97.75;112.02;98.63;65.82;27.0;177
20220601-231951;114.93;80.81;133.4;170.92;168.73;134.86;8.0;66
20220601-233512;2.58;29.32;48.93;57.84;62.54;49.73;0.0;29
20220601-233627;38.07;59.93;75.99;85.24;71.25;52.19;0.0;32
20220607-105636;0.0;0.0;0.0;0.0;0.0;0.0;0.0;38
20220607-105852;0.0;0.0;0.0;0.0;0.0;0.0;0.0;46
20220607-105945;0.0;0.0;0.0;0.0;0.0;0.0;0.0;21
20220607-110014;0.0;0.0;0.0;0.0;0.0;0.0;0.0;35
20220607-110057;0.0;0.0;0.0;0.0;0.0;0.0;0.0;51
20220607-110154;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16
20220607-125459;0.0;0.0;0.0;0.0;0.0;0.0;0.0;77
20220607-130746;227.48;593.46;573.23;645.72;663.48;593.73;13.0;131
20220607-141105;0.0;0.0;0.0;0.0;0.0;0.0;0.0;266
20220607-141537;0.0;0.0;0.0;0.0;0.0;0.0;0.0;168
20220609-154206;193.01;416.63;377.96;380.2;363.24;353.51;0.0;29
20220609-154327;0.0;143.6;155.71;162.52;139.17;93.35;0.0;14
20220609-154350;0.0;334.2;366.6;377.77;362.65;300.02;0.0;9
20220609-155315;0.0;29.66;43.57;50.61;68.86;49.66;0.0;28
20220609-160144;298.4;1077.49;1124.61;1167.86;1187.27;1037.75;0.0;72
20220609-161645;19.46;35.43;64.91;71.38;43.77;55.18;0.0;30
20220609-162140;0.0;11.92;14.6;13.87;9.52;7.98;0.0;41
20220609-162713;0.0;75.42;84.23;80.44;85.48;70.03;2.0;50
20220609-162815;31.48;18.65;20.93;29.48;27.22;48.42;0.0;48
20220609-163121;52.27;158.34;166.5;155.91;138.29;68.2;11.0;36
20220609-163503;0.0;27.31;55.1;65.82;15.34;22.47;0.0;19
20220609-164949;319.71;131.22;153.76;153.49;153.55;147.23;0.0;11
20220609-174315;0.0;12.8;12.4;11.65;53.7;46.28;4.0;13
20220609-174756;2.21;7.41;14.95;23.45;59.07;33.34;11.0;14
20220609-175005;0.0;5.37;14.89;29.96;62.9;44.76;5.0;11
20220609-175613;261.84;164.4;198.98;229.76;175.99;152.25;0.0;89
20220609-181245;109.98;178.54;195.07;214.5;205.23;162.99;0.0;29
20220609-181612;442.0;149.81;185.03;202.33;186.62;150.63;0.0;12
20220609-181851;178.17;169.36;165.69;182.3;200.59;134.33;0.0;13
20220609-181943;240.0;187.16;162.43;190.3;185.81;189.17;0.0;14
20220609-213900;336.93;139.85;179.4;202.23;184.21;135.06;7.0;50
20220609-214914;0.0;83.65;90.48;96.63;109.85;41.6;0.0;29
20220609-215100;6.65;13.47;14.25;10.41;6.42;6.76;0.0;9
20220609-215302;16.52;123.12;170.97;193.78;181.7;102.82;0.0;19
20220609-215654;237.12;574.28;579.85;586.05;724.55;618.69;0.0;40
20220609-221628;0.0;0.0;0.0;0.0;0.0;0.0;0.0;31
20220609-225730;0.0;35.37;40.64;74.52;67.94;59.62;0.0;13
20220609-230210;496.94;224.95;161.21;151.12;172.19;134.81;0.0;24
20220610-000140;48.03;55.35;60.39;67.5;71.53;53.65;0.0;37
20220610-000226;100.85;116.06;107.66;105.91;90.28;87.19;0.0;27
20220610-000338;6.09;9.47;11.16;8.36;41.92;44.65;3.0;10
